system,user,json
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","8 trai bún chả cho bữa ăn trưa với đồng nghiệp hôm nay
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 30 triệu hải sản cho bữa tiệc gia đình vào cuối tháng
",30000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","5 củ bánh xèo cho buổi picnic vào cuối tuần này
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 18 triệu kem cho bữa tiệc sinh nhật của con gái
",18000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần trước 3 triệu mua sắm quần áo
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm qua 1 chai rưỡi cà phê sáng
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tháng này 5 m tiền thuê nhà
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần trước 2 triệu chi cho tiệc sinh nhật
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm kia 4 chai mua trái cây
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tháng trước 6 m chi phí đi lại
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần này 1 triệu gửi tiết kiệm
",1000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm qua 3 chai ăn tối với bạn
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tháng này 2 triệu cho bảo hiểm xe
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần trước 5 m mua sắm đồ điện tử
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua một chai nước 2 triệu 300 nghìn cho bữa tiệc.
",2300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiền 5 m 700 nghìn cho một chiếc áo mới.
",5700000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đặt cọc 3 mê 250 nghìn cho căn hộ mới.
",3250000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiền 6 triệu 800 nghìn cho vé máy bay đi du lịch.
",6800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua một củ khoai tây 1 triệu 500 nghìn ở chợ.
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiền 9 triệu 900 nghìn cho một chiếc xe đạp mới.
",9900000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đặt hàng 7 m 450 nghìn cho một bộ đồ chơi.
",7450000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiền 2 triệu 100 nghìn cho bữa ăn tối với bạn bè.
",2100000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua một chai rượu 4 triệu 600 nghìn cho dịp lễ.
",4600000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiền 3 mê 800 nghìn cho một buổi hòa nhạc.
",3800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 3 triệu 150.000đ bánh mì sáng nay
",3150000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","7 m 250 30.000đ trà sữa chiều qua
",7250000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","2 chai 500.000đ sushi cuối tuần này
",2500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","10 trai 600.000đ pizza cho bữa tiệc tối nay
",10600000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","5 củ 800.000đ lẩu hải sản hôm trước
",5800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","4 triệu 200.000đ kem tươi cho sinh nhật tuần này
",4200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","6 m 900 20.000đ nước ngọt trong buổi họp
",6900000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","8 chai 350.000đ gà rán tối qua
",8350000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","9 củ 750.000đ bánh kem cho lễ kỷ niệm hôm nay
",9750000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","7 triệu cho bữa tiệc sinh nhật của bạn bè tuần trước.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tháng này 5 m chi phí cho việc sửa chữa xe.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","10 chai đồ uống cho buổi họp mặt cuối tuần.
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","8 trai vé xem phim cho nhóm bạn vào thứ Bảy.
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","12 triệu cho chuyến du lịch cuối năm.
",12000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tháng trước 6 m tiền thuê nhà.
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","15 chai bánh kem cho lễ kỷ niệm công ty.
",15000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","9 trai quà tặng cho các nhân viên trong dịp Tết.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","11 triệu cho việc mua sắm đồ nội thất mới.
",11000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tháng này 4 m chi phí cho dịch vụ internet.
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 2 triệu 300 nghìn cho bữa tiệc sinh nhật tuần trước
",2300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","nộp tiền 5 mê cho phí bảo trì xe hơi tháng này
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 3 m 750 nghìn cho chuyến du lịch cuối tuần
",3750000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 6 triệu 200 nghìn cho hóa đơn điện nước tháng trước
",6200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 1 m 500 nghìn mua sắm đồ dùng học tập
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","nộp tiền 7 triệu 800 nghìn cho phí thuê nhà hàng tháng
",7800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 9 mê cho vé xem concert cuối tuần này
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 4 triệu 600 nghìn cho dịch vụ internet hàng tháng
",4600000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 10 triệu cho việc sửa chữa nhà cửa
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","nộp tiền 2 triệu 900 nghìn cho phí khám sức khỏe định kỳ
",2900000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua 10 triệu bánh mì cho bữa sáng hôm nay.
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 7 mê cho một bữa tiệc tối cuối tuần.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tiêu 15 củ cho một bộ quần áo mới.
",15000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đặt 25 chai sushi cho bữa tiệc sinh nhật.
",25000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 12 triệu cho một chuyến du lịch cuối năm.
",12000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua 8 trai nước ngọt cho buổi picnic.
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tiêu 3 triệu cho một bữa ăn tại nhà hàng sang trọng.
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 18 củ cho vé xem concert tối nay.
",18000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua 5 triệu trái cây cho bữa tiệc BBQ.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tiêu 9 chai cho một bộ phim và bắp rang bơ.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiền 2 m 750 nghìn cho bữa tiệc sinh nhật cuối tuần.
",2750000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","5 m 600 20.000đ trà sữa cho buổi hẹn hò tối qua.
",5620000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","1 triệu 800 40.000đ cà phê sáng nay với bạn bè.
",1840000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 6 triệu 500 10.000đ cho bữa ăn gia đình hôm qua.
",6510000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","2 m 300 60.000đ sushi cho bữa tối thứ bảy.
",2360000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiền 4 triệu 400 15.000đ cho món ăn vặt chiều nay.
",4415000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","8 m 100 35.000đ kem cho buổi picnic cuối tuần.
",8135000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","9 triệu 600 5.000đ nước ngọt cho bữa tiệc sinh nhật.
",9605000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 7 triệu cho bữa tiệc sinh nhật tuần trước.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","15 triệu cho chuyến du lịch cuối tuần vừa rồi.
",15000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 5 triệu cho hợp đồng mới ký kết.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","12 triệu mua sắm đồ dùng văn phòng tháng này.
",12000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 8 triệu cho bữa ăn tối với đối tác.
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","20 triệu cho việc sửa chữa nhà cửa gần đây.
",20000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả 3 triệu cho dịch vụ tư vấn tài chính.
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","9 triệu cho vé máy bay đi công tác tuần tới.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 6 triệu cho quà tặng sinh nhật bạn bè.
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","11 triệu cho khóa học trực tuyến mới bắt đầu.
",11000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 5 triệu 300.000 cho bữa tiệc sinh nhật vào cuối tuần này.
",5300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","3 m 750 20.000đ cho bữa ăn tối hôm qua với bạn bè.
",3752000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 6 triệu 200 nghìn cho chuyến du lịch tháng tới.
",6200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 2 triệu 850.000 cho quần áo mới trong mùa sale.
",2850000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","8 m 600 15.000đ cho bữa ăn tại nhà hàng sang trọng tối qua.
",8615000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 1 triệu 900 nghìn cho vé xem concert cuối tuần này.
",1900000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 9 triệu 450.000 cho việc sửa chữa nhà cửa.
",9450000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","7 m 300 30.000đ cho đồ uống tại quán cà phê sáng nay.
",7330000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 4 triệu 100 nghìn cho khóa học trực tuyến mới.
",4100000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 10 triệu 500.000 cho một chiếc laptop mới phục vụ công việc.
",10500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần trước 2 m mua sắm đồ dùng văn phòng.
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm qua 5 m chi cho bữa tiệc sinh nhật.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tháng này 3 m 200 nghìn cho vé xem phim.
",3200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần trước 1 m 500 nghìn đặt phòng khách sạn.
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tối qua 6 m ăn tối với bạn bè tại nhà hàng.
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần trước 4 m mua quà cho gia đình.
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm qua 7 m chi cho việc sửa chữa xe.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tháng trước 8 m đầu tư vào quỹ chứng khoán.
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tuần này 9 m thanh toán tiền thuê nhà.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tối qua 10 m mua sắm quần áo mới.
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 1 triệu 200 mua bánh sinh nhật cho bạn tối qua
",1200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm nay tiêu 3 m 700 cho bữa tiệc tại nhà
",3700000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","đã chi 2 chai cho bữa ăn tối với gia đình tuần trước
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tối nay trả 5 m 250 cho hóa đơn nước
",5250000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 4 triệu 500 mua quà cho sinh nhật mẹ
",4500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm qua tiêu 1 m 800 cho bữa ăn tại nhà hàng
",1800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","đã chi 3 chai cho vé xem phim cuối tuần trước
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tối qua đóng 2 m 600 cho tiền thuê nhà
",2600000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 1 triệu 500 mua sắm đồ dùng học tập cho con
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","hôm nay tiêu 6 m 300 cho bữa tiệc sinh nhật bạn bè
",6300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","15 triệu cho chuyến du lịch cuối năm vừa qua.
",15000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","20 m cho việc sửa chữa nhà cửa tháng trước.
",20000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","10 mê cho bữa tiệc sinh nhật của bạn thân.
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","5 củ cho việc mua sắm đồ dùng học tập.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","12 chai cho quỹ từ thiện của trường.
",12000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","18 trai cho việc đầu tư vào cổ phiếu mới.
",18000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","7 triệu cho việc thuê mặt bằng kinh doanh.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","25 m cho việc tổ chức sự kiện lớn cuối tuần này.
",25000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","30 mê cho việc mua sắm thiết bị công nghệ.
",30000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","9 củ cho việc chăm sóc sức khỏe định kỳ.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 3 triệu cho bữa tiệc sinh nhật vào cuối tuần này
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 7 củ cho chiếc áo mới mua ở cửa hàng
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 4 triệu để đặt phòng khách sạn cho chuyến đi sắp tới
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 6 triệu cho vé xem concert vào tháng sau
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 2 triệu cho bữa ăn tối với bạn bè
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 8 củ cho bộ quần áo thể thao mới
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 5 triệu để mua quà cho người thân dịp lễ
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 9 triệu cho dịch vụ sửa chữa xe hơi
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 1 triệu cho vé vào cửa triển lãm nghệ thuật
",1000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","trả tiền 12 triệu cho khóa học trực tuyến trong tháng này
",12000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 3 triệu 200.000 mua sắm đồ dùng cho văn phòng hôm qua.
",3200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 5 triệu 800.000 ăn tối với bạn bè cuối tuần trước.
",5800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","1 triệu 500.000 gửi tiết kiệm cho tương lai hôm nay.
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 4 triệu 750.000 đặt vé máy bay đi du lịch tháng sau.
",4750000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 6 triệu 300.000 mua quà sinh nhật cho người yêu tuần này.
",6300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","2 triệu 100.000 thanh toán tiền điện nước tháng này.
",2100000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 8 triệu 900.000 sửa chữa xe hơi hôm trước.
",8900000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu 9 triệu 600.000 mua sắm quần áo cho mùa đông.
",9600000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","3 triệu 400.000 đầu tư vào quỹ chứng khoán hôm nay.
",3400000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 1 triệu 800.000 thuê phòng khách sạn cho chuyến đi tuần tới.
",1800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","5 triệu bánh mì cho bữa tiệc cuối tuần này.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","8 m sushi cho buổi họp mặt vào thứ bảy tới.
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","10 chai trà sữa cho nhóm làm việc hôm qua.
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","7 triệu pizza cho buổi sinh nhật của bạn.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","4 m gà rán cho bữa ăn trưa hôm nay.
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","6 chai nước ngọt cho buổi picnic cuối tuần.
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","3 triệu bánh kem cho lễ kỷ niệm sắp tới.
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","9 m phở cho bữa tối với gia đình tối qua.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","2 chai bia cho buổi xem bóng đá cuối tuần này.
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","11 triệu trái cây cho bữa tiệc sinh nhật của con.
",11000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền 3 triệu mua sắm quần áo cuối tuần vừa rồi
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu bảy m tối thứ hai vừa qua
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","nộp tiền 5 chai cho phí dịch vụ internet tháng này
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 6 mê để ăn tối tại nhà hàng sang trọng hôm qua
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu hai trai cho việc sửa chữa xe hơi tuần trước
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","nộp tiền 9 triệu cho học phí của con trai
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 4 m cho việc tổ chức sinh nhật bạn thân
",4000000
